लोग: लोग 
‘कैप्चा’: ‘कैप्चा’
के: के 
जरिए: जर 
अक्षरों: अक्षर 
और: और
नंबरों: नंबर 
मेल: मेल 
को: को 
पहचान: पहचान
कर:  
साबित: साबित
करते: करता 
हैं: हैं 
कि: क 
वे: वे 
इंसान: इंसान
रोबोट: रोबोट
या: या 
अन्य: अन्य
किसी: किसी 
मशीन: मशीन
की: की 
ठीक: ठीक
करने: करना 
में: में 
मुश्किल: मुश्किल
होती: होती 
है: है 
यूजरों: यूजर 
से: से 
कहा: कहा 
जाता: जाता 
तोड़: तोड़
मरोड़: मरोड़
दिखाए: दिख 
गए: गए 
करें: कर 
रोबोटों: रोबोट 
लिए: लिए 
ऐसा: ऐसा 
करना: करना 
होता: होता 
जबकि: जबक 
यह: यह 
काम: काम 
आसानी: आसानी 
लेते: लेता 
पहले: पहला 
कई: कई
शोध: शोध
टीमों: टीम 
ने: ने 
दिखाया: दिखाया 
मात: मात
देना: देना 
मुमकिन: मुमकिन
उन्होंने: उन्होंने 
जानने: जानना 
न्यूरल: न्यूरल
नेटवर्कों: नेटवर्क 
का: का 
इस्तेमाल: इस्तेमाल
किया: किया 
क्या: क्या 
फिर: फिर
उन: उन 
प्रणालियों: प्रणाली 
नाकाम: नाकाम
गया: गया 
जिनमें: जिनमें 
उनका: उनका 
था: था 
बहरहाल: बहरहाल
ऐसे: ऐसे 
तौर: तौर 
तरीकों: तरीक 
प्रणाली: प्रणाली 
हजारों: हजार 
लाखों: लाख 
उदाहरणों: उदाहरण 
प्रयोग: प्रयोग
ताकि: ताक 
निकालने: निकालना 
सहूलियत: सहूलियत
हो: ह 
कैलिफोर्निया: कैलिफोर्निया 
आर्टिफिशियल: आर्टिफिशियल
इंटेलिजेंस: इंटेलिजेंस
कंपनी: कंपनी 
‘विकेरियस’: ‘विकेरियस’
एक: एक
संशोधित: संशोधित
नेटवर्क: नेटवर्क
साथ: साथ 
आई: आई
जिससे: जिससा 
कुछ: कुछ
ही: ही 
अध्ययन: अध्ययन 
बाद: बाद 
निकाला: निकाला 
जा: जा 
सकता: सकता 
‘टेकएक्सप्लोर’: ‘टेकएक्सप्लोर’
रिपोर्ट: रिपोर्ट 
मुताबिक: मुताबिक 
इस: इस 
पुनरावर्ती: पुनरावर्ती 
कॉर्टिकल: कॉर्टिकल
ये: ये 
भी: भी 
पढ़ें: पढ़ 
साल: साल 
अमेरिकी: अमेरिकी 
चुनाव: चुनाव 
रूस: रूस 
दखल: दखल
संबंध: संबंध
अपनी: अपनी 
भूमिका: भूमिका 
लेकर: ले 
फेसबुक: फेसबुक
जांच: जांच
घेरे: घेरा 
अब: अब
स्वीकार: स्वीकार
उसके: उसके 
प्लेटफार्म: प्लेटफार्म
पर: पर 
करोड़: करोड़
फर्जी: फर्जी 
नकली: नकली 
खाते: खाता 
'द: 'द
टेलीग्राफ': टेलीग्राफ'
बताया: बताया 
सोशल: सोशल
मीडिया: मीडिया 
हफ्ते: हफ्ता 
तिमाही: तिमाही 
आय: आय
आंकड़े: आंकड़ा 
जारी: जारी 
किए: क 
थे: थे 
इसके: इसके 
खुलासा: खुलासा 
उसने: उसने 
जितना: जितना 
अनुमान: अनुमान
लगाया: लगाया 
उससे: उससा 
गुना: गुना 
ज्यादा: ज्यादा 
वाशिंगटन: वाशिंगटन
पोस्ट': पोस्ट'
अक्टूबर: अक्टूबर
प्रकाशित: प्रकाशित
सांसदों: सांसद 
बताने: बताना 
योजना: योजना 
बनाई: बन 
थी: थी 
यूज़र्स: यूज़र्स
रूसी: रूसी 
ऑपरेटरों: ऑपरेटर 
द्वारा: द्वारा 
उत्पादित: उत्पादित
वितरित: वितरित
सामग्री: सामग्री 
देखी: देखी 
होगी: होगी 
बताए: बत 
आंकड़ों: आंकड़ 
अधिक: अधिक
लगभग: लगभग
लाख: लाख 
यूजर्स: यूजर्स
विज्ञापनों: विज्ञापन 
देखा: देखा 
हाल: हाल 
नेटवर्किंग: नेटवर्किंग
साइट: साइट
राजनीतिक: राजनीतिक
पारदर्शी: पारदर्शी 
बनाने: बनाना 
वादा: वादा 
उपयोगकर्ताओं: उपयोगकर्त उपयोगकर् 
विज्ञापनदाताओं: विज्ञापनदा विज्ञापनदात 
उनकी: उनकी 
स्थिति: स्थिति 
समेत: समेत
दूसरी: दूसरी 
महत्वपूर्ण: महत्वपूर्ण
जानकारियां: जानकारी 
प्राप्त: प्राप्त
अनुमति: अनुमति 
देगा: देगा 
अफगानिस्तान: अफगानिस्तान 
सरकार: सरकार 
निजी: निजी 
दूरसंचार: दूरसंचार
कंपनियों: कंपनी 
देश: देश 
व्हाट्सएप: व्हाट्सएप
टेलीग्राम: टेलीग्राम
इंस्टेंट: इंस्टेंट
मैसेजिंग: मैसेजिंग
सेवाओं: सेव 
निलंबित: निलंबित
कदम: कदम 
अभिव्यक्ति: अभिव्यक्त 
आजादी: आजादी 
अंकुश: अंकुश
रूप: रूप 
रहा: रहा 
न्यूयॉर्क: न्यूयॉर्क
टाइम्स': टाइम्स'
शुक्रवार: शुक्रवार 
लोकप्रिय: लोकप्रिय
ऐप: ऐप
रहे: रहे 
हालांकि: हालांक 
स्वामित्व: स्वामित्व
वाली: वाली 
सेलाम: सेलाम
टेलीकॉम: टेलीकॉम
ग्राहकों: ग्राहक 
दोनों: दोन 
बंद: बंद
चुके: चुके 
नाई: न 
समूह: समूह 
कार्यकारी: कार्यकारी 
निदेशक: निदेशक
अब्दुल: अब्दुल 
मुजीब: मुजीब
खलवटगर: खलवटगर
'यह: 'यह 
गलत: गलत
गैरकानूनी: गैरकानूनी 
': '
संविधान: संविधान
अनुसार: अनुसार 
स्वतंत्रता: स्वतंत्रता 
अलंघनीय: अलंघनीय
'व्हाट्सएप: 'व्हाट्सएप
उपकरण: उपकरण 
अगर: अगर
